hominum,rdnumber,CaseNumber,Date2,year,trac2000,location,locatinr,LocationDescription,ArrestD,DomesticD,gridid,X_MetCent,Y_MetCent,All_Inside,YearFive,Population
65142,D129829, ,,1965,242600,1101,1, ,1,0,44173,352890.973255,581122.757678,1,1965 to 1969,3550404.0
65143,D130140, ,,1965,270500,1101,1, ,1,0,39501,351090.973255,578122.757678,1,1965 to 1969,3550404.0
65144,D138269, ,,1965,461000,1202,5, ,1,0,14897,365190.973255,562222.757678,1,1965 to 1969,3550404.0
65145,D139562, ,,1965,390100,2100,9, ,1,0,28852,361440.973255,571222.757678,1,1965 to 1969,3550404.0
65146,D139902, ,,1965,290500,1101,1, ,1,0,39035,351090.973255,577822.757678,1,1965 to 1969,3550404.0
65147,D133584, ,,1965,421100,1112,3, ,1,0,23729,361890.973255,567922.757678,1,1965 to 1969,3550404.0
65148,D135054, ,,1965,271800,3001,4, ,1,0,39047,352890.973255,577822.757678,1,1965 to 1969,3550404.0
65149,D143300, ,,1965,80800,3001,4, ,1,0,44903,357540.973255,581572.757678,1,1965 to 1969,3550404.0
65150,D144157, ,,1965,280200,1101,1, ,1,0,41171,356940.973255,579172.757678,1,1965 to 1969,3550404.0
65151,D147895, ,,1965,243000,2400,7, ,0,0,42785,354390.973255,580222.757678,1,1965 to 1969,3550404.0
65152,D148661, ,,1965,283600,2400,7, ,1,0,37909,356940.973255,577072.757678,1,1965 to 1969,3550404.0
65153,D150171, ,,1965,291800,2300,9, ,1,1,36943,351840.973255,576472.757678,1,1965 to 1969,3550404.0
65154,D152686, ,,1965,281600,1202,5, ,1,0,41158,354990.973255,579172.757678,1,1965 to 1969,3550404.0
65155,D153598, ,,1965,381200,2100,9, ,0,0,28142,359790.973255,570772.757678,1,1965 to 1969,3550404.0
65156,D153761, ,,1965,380400,1101,1, ,1,1,30933,359040.973255,572572.757678,1,1965 to 1969,3550404.0
65157,D154835, ,,1965,421100,1101,1, ,1,0,22795,361590.973255,567322.757678,1,1965 to 1969,3550404.0
65158,D154992, ,,1965,290900,1101,1, ,1,1,38329,350040.973255,577372.757678,1,1965 to 1969,3550404.0
65159,D155907, ,,1965,370400,1101,1, ,0,0,26966,358140.973255,570022.757678,1,1965 to 1969,3550404.0
65160,D156969, ,,1965,271300,1101,1, ,0,1,40670,351690.973255,578872.757678,1,1965 to 1969,3550404.0
65161,D124391, ,,1965,281700,1512,2, ,1,0,40933,356190.973255,579022.757678,1,1965 to 1969,3550404.0
65162,D156979, ,,1965,380100,2100,9, ,1,0,30705,359790.973255,572422.757678,1,1965 to 1969,3550404.0
65163,D161192, ,,1965,420100,1101,1, ,1,1,24429,362040.973255,568372.757678,1,1965 to 1969,3550404.0
65164,D161566, ,,1965,71000,1202,5, ,1,0,47690,356190.973255,583372.757678,1,1965 to 1969,3550404.0
65165,D162591, ,,1965,290500,2301,10, ,1,0,38572,351540.973255,577522.757678,1,1965 to 1969,3550404.0
65166,D162709, ,,1965,63000,1101,1, ,1,1,50024,356790.973255,584872.757678,1,1965 to 1969,3550404.0
65167,D163784, ,,1965,150100,2304,4, ,1,0,54629,348540.973255,587872.757678,1,1965 to 1969,3550404.0
65168,D162421, ,,1965,380400,1101,1, ,0,1,31166,359040.973255,572722.757678,1,1965 to 1969,3550404.0
65169,D168279, ,,1965,290400,1201,6, ,1,0,38576,352140.973255,577522.757678,1,1965 to 1969,3550404.0
65170,D168395, ,,1965,370100,2100,9, ,0,0,30229,358290.973255,572122.757678,1,1965 to 1969,3550404.0
65171,D172999, ,,1965,281900,2700,10, ,1,0,41171,356940.973255,579172.757678,1,1965 to 1969,3550404.0
65172,D173215, ,,1965,681100,1101,1, ,0,1,21135,357240.973255,566272.757678,1,1965 to 1969,3550404.0
65173,D176122, ,,1965,400300,2301,10, ,1,1,26274,359190.973255,569572.757678,1,1965 to 1969,3550404.0
65174,D179285, ,,1965,231500,1101,1, ,1,1,42533,351540.973255,580072.757678,1,1965 to 1969,3550404.0
65175,D180216, ,,1965,284200,2100,9, ,1,0,38588,353940.973255,577522.757678,1,1965 to 1969,3550404.0
65176,D180255, ,,1965,260800,2100,9, ,1,0,40662,350490.973255,578872.757678,1,1965 to 1969,3550404.0
65177,D180543, ,,1965,280800,1101,1, ,1,0,40448,353340.973255,578722.757678,1,1965 to 1969,3550404.0
65178,D180880, ,,1965,271800,1101,1, ,1,1,39512,352740.973255,578122.757678,1,1965 to 1969,3550404.0
65179,D178524, ,,1965,270700,1115,3, ,1,0,40907,352290.973255,579022.757678,1,1965 to 1969,3550404.0
65180,D183938, ,,1965,380800,2200,9, ,1,1,30002,359190.973255,571972.757678,1,1965 to 1969,3550404.0
65181,D184951, ,,1965,360400,2100,9, ,1,0,30481,361140.973255,572272.757678,1,1965 to 1969,3550404.0
65182,D187640, ,,1965,681100,1101,1, ,1,1,21600,357090.973255,566572.757678,1,1965 to 1969,3550404.0
65183,D172999, ,,1965,281900,2700,10, ,1,0,41171,356940.973255,579172.757678,1,1965 to 1969,3550404.0
65184,D190357, ,,1965,260100,1106,3, ,1,0,41363,350790.973255,579322.757678,1,1965 to 1969,3550404.0
65185,D185491, ,,1965,260800,3001,4, ,1,0,40431,350790.973255,578722.757678,1,1965 to 1969,3550404.0
65186,D190962, ,,1965,281500,1101,1, ,1,1,40458,354840.973255,578722.757678,1,1965 to 1969,3550404.0
65187,D191447, ,,1965,292300,1101,1, ,1,1,36240,351240.973255,576022.757678,1,1965 to 1969,3550404.0
65188,D191518, ,,1965,61900,1101,1, ,1,0,51425,357240.973255,585772.757678,1,1965 to 1969,3550404.0
65189,D193729, ,,1965,280700,2200,9, ,1,0,41149,353640.973255,579172.757678,1,1965 to 1969,3550404.0
65190,D194746, ,,1965,291500,2100,9, ,1,0,37885,353340.973255,577072.757678,1,1965 to 1969,3550404.0
65191,D196719, ,,1965,243500,2100,9, ,1,0,42799,356490.973255,580222.757678,1,1965 to 1969,3550404.0
65192,D197130, ,,1965,281500,6999,6, ,0,0,40923,354690.973255,579022.757678,1,1965 to 1969,3550404.0
65193,D172060, ,,1965,271300,2100,9, ,1,0,40670,351690.973255,578872.757678,1,1965 to 1969,3550404.0
65194,D197719, ,,1965,490900,1107,1, ,1,0,9737,360090.973255,558922.757678,1,1965 to 1969,3550404.0
65195,D197719, ,,1965,490900,1107,1, ,1,0,9737,360090.973255,558922.757678,1,1965 to 1969,3550404.0
65196,D199804, ,,1965,430600,1105,6, ,1,0,20710,363390.973255,565972.757678,1,1965 to 1969,3550404.0
65197,D200266, ,,1965,291200,2100,9, ,1,0,37640,351540.973255,576922.757678,1,1965 to 1969,3550404.0
65198,D203597, ,,1965,260600,7001,6, ,1,0,39959,349890.973255,578422.757678,1,1965 to 1969,3550404.0
65199,D203957, ,,1965,420100,1101,1, ,1,0,23963,362040.973255,568072.757678,1,1965 to 1969,3550404.0
65200,D204210, ,,1965,281500,1101,1, ,1,1,40924,354840.973255,579022.757678,1,1965 to 1969,3550404.0
65201,D204631, ,,1965,360300,1109,2, ,1,0,31408,360390.973255,572872.757678,1,1965 to 1969,3550404.0
65202,D203629, ,,1965,490400,1101,1, ,0,0,13700,360390.973255,561472.757678,1,1965 to 1969,3550404.0
65203,D206079, ,,1965,400200,1501,1, ,0,1,26736,358590.973255,569872.757678,1,1965 to 1969,3550404.0
65204,D206658, ,,1965,270700,2100,9, ,1,1,41139,352140.973255,579172.757678,1,1965 to 1969,3550404.0
65205,D208612, ,,1965,281800,2200,9, ,1,0,40701,356340.973255,578872.757678,1,1965 to 1969,3550404.0
65206,D209903, ,,1965,291200,2100,9, ,1,1,37406,351390.973255,576772.757678,1,1965 to 1969,3550404.0
65207,D210724, ,,1965,420600,2100,9, ,0,0,24415,359940.973255,568372.757678,1,1965 to 1969,3550404.0
65208,D210879, ,,1965,291700,2100,9, ,1,0,36479,352140.973255,576172.757678,1,1965 to 1969,3550404.0
65209,D211328, ,,1965,241400,1101,1, ,1,0,45117,354690.973255,581722.757678,1,1965 to 1969,3550404.0
65210,D211709, ,,1965,291300,2100,9, ,1,0,38342,351990.973255,577372.757678,1,1965 to 1969,3550404.0
65211,D205402, ,,1965,400300,1120,2, ,1,0,26510,359640.973255,569722.757678,1,1965 to 1969,3550404.0
65212,D212871, ,,1965,381400,2303,4, ,1,0,28837,359190.973255,571222.757678,1,1965 to 1969,3550404.0
65213,D302793, ,,1965,380400,2303,4, ,1,0,31167,359190.973255,572722.757678,1,1965 to 1969,3550404.0
65214,D215327, ,,1965,440900,1101,1, ,1,1,15333,360690.973255,562522.757678,1,1965 to 1969,3550404.0
65215,D216555, ,,1965,270800,1109,2, ,1,0,41144,352890.973255,579172.757678,1,1965 to 1969,3550404.0
65216,D217824, ,,1965,680900,2100,9, ,1,0,22766,357240.973255,567322.757678,1,1965 to 1969,3550404.0
65217,D214460, ,,1965,63100,1101,1, ,0,0,51189,356790.973255,585622.757678,1,1965 to 1969,3550404.0
65218,D214315, ,,1965,243200,1101,1, ,1,1,42558,355290.973255,580072.757678,1,1965 to 1969,3550404.0
65219,D220155, ,,1965,80900,2100,9, ,1,0,44440,357990.973255,581272.757678,1,1965 to 1969,3550404.0
65220,D220294, ,,1965,421100,1101,1, ,1,1,22796,361740.973255,567322.757678,1,1965 to 1969,3550404.0
65221,D221109, ,,1965,390100,1101,1, ,1,0,29317,361290.973255,571522.757678,1,1965 to 1969,3550404.0
65222,D222002, ,,1965,410600,1101,1, ,1,0,26985,360990.973255,570022.757678,1,1965 to 1969,3550404.0
65223,D223652, ,,1965,400800,2100,9, ,0,0,23947,359640.973255,568072.757678,1,1965 to 1969,3550404.0
65224,D223038, ,,1965,431400,1101,1, ,0,0,20949,364290.973255,566122.757678,0,1965 to 1969,3550404.0
65225,D223736, ,,1965,40200,2700,10, ,1,0,56057,353040.973255,588772.757678,1,1965 to 1969,3550404.0
65226,D223957, ,,1965,680200,1101,1, ,1,1,24171,358290.973255,568222.757678,1,1965 to 1969,3550404.0
65227,D224689, ,,1965,81200,3101,10, ,1,0,44679,358890.973255,581422.757678,1,1965 to 1969,3550404.0
65228,D223927, ,,1965,680200,3114,10, ,1,0,24171,358290.973255,568222.757678,1,1965 to 1969,3550404.0
65229,D225702, ,,1965,281700,2100,9, ,1,0,40928,355440.973255,579022.757678,1,1965 to 1969,3550404.0
65230,D226877, ,,1965,390100,1101,1, ,1,1,29316,361140.973255,571522.757678,1,1965 to 1969,3550404.0
