address,year,x,y,exact_date
63rd and Cottage Grove,1923.000000000000000,-87.605838779999999,41.780272920000002,1923-04-28
7924 Aberdeen st.,1923.000000000000000,-87.651482999999999,41.749993000000003,1923-04-29
2113 Kenneth av.,1923.000000000000000,-87.737433999999993,41.919244999999997,1923-04-30
2214 Dearborn,1923.000000000000000,-87.628459000000007,41.852181999999999,1923-05-01
55th & Normal ave.,1923.000000000000000,-87.637789249999997,41.793920409999998,1923-05-02
2010 Blue Island,1923.000000000000000,-87.663993000000005,41.854810999999998,1923-05-05
Roosevelt Rd. and Robey,1923.000000000000000,-87.676284310000000,41.866732519999999,1923-05-07
1115 Lytle st.,1923.000000000000000,-87.657758000000001,41.868040999999998,1923-05-09
600 W. 41st st.,1923.000000000000000,-87.641182000000001,41.820436999999998,1923-05-12
2433 W. 45th pl.,1923.000000000000000,-87.685428000000002,41.811042999999998,1923-05-13
2220 Walnut st.,1923.000000000000000,-87.682571409999994,41.885857129999998,1923-05-14
1028 S Morgan,1923.000000000000000,-87.651264999999995,41.869059999999998,1923-05-14
55th & State sts.,1923.000000000000000,-87.625665659999996,41.794176370000002,1923-05-15
Princeton av between 39ht and 40th sts,1923.000000000000000,-87.633175850000001,41.822070170000003,1923-05-17
S.E. corner of lake st. & Oakley Blvd.,1923.000000000000000,-87.683923239999999,41.884627060000000,1923-05-18
3101 S. State st.,1923.000000000000000,-87.626411000000004,41.838166000000001,1923-05-20
1428 W 51st st,1923.000000000000000,-87.660886000000005,41.801537000000003,1923-05-22
3030 State st.,1923.000000000000000,-87.626982999999996,41.839080000000003,1923-05-27
1610 Blue Island ave.,1923.000000000000000,-87.659996000000007,41.859502999999997,1923-05-29
2807 Wentworth ave.,1923.000000000000000,-87.627082999999999,41.842950000000002,1923-05-31
Wood and Superior,1923.000000000000000,-87.672142980000004,41.895025969999999,1923-05-31
Cottage Grove ave & 89th pl.,1923.000000000000000,-87.604722980000005,41.732091519999997,1923-06-03
37th and Federal sts.,1923.000000000000000,-87.629077429999995,41.827298910000003,1923-06-04
37th & Federal Sts.,1923.000000000000000,-87.629077429999995,41.827298910000003,1923-06-04
416 N. Racine Ave.,1923.000000000000000,-87.657563999999994,41.889628000000002,1923-06-04
37th and Federal,1923.000000000000000,-87.629077429999995,41.827298910000003,1923-06-04
37th and Federal sts.,1923.000000000000000,-87.629077429999995,41.827298910000003,1923-06-04
5835 Winthrop,1923.000000000000000,-87.657843999999997,41.988100000000003,1923-06-05
2003 W. Division St.,1923.000000000000000,-87.677509999999998,41.903053000000000,1923-06-06
6500 S State,1923.000000000000000,-87.625382999999999,41.776263000000000,1923-06-10
641 E. 67th st.,1923.000000000000000,-87.643743000000001,41.881962999999999,1923-06-11
